| 4 | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 180 |
| 4 | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 48 |
| 5 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 4142 |
| 5 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 4142 |
| 5 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 4142 |
| 5 | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 168 |
| 5 | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 180 |
| 5 | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 48 |
| 6 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 4696 |
| 6 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 4696 |
| 6 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 4696 |
| 6 | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 216 |
| 6 | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 228 |
| 6 | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 60 |
| 7 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 5273 |
| 7 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 5268 |
| 7 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 5269 |
| 7 | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 376 |
| 7 | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 228 |
| 7 | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 108 |
| 8 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 16101 |
| 8 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 10777 |
| 8 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 14154 |
| 8 | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 440 |
| 8 | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 452 |
| 8 | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 92 |
| 9 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 26984 |
| 9 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 16345 |
| 9 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 23100 |
| 9 | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 376 |
| 9 | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 484 |
| 9 | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 76 |
| 10 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 37744 |
| 10 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 21780 |
| 10 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 31916 |
| 10 | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 472 |
| 10 | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 324 |
| 10 | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 124 |
| 11 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 48573 |
| 11 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 27290 |
| 11 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 40813 |
| 11 | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 472 |
| 11 | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 452 |
| 11 | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 140 |
| 12 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 59406 |
| 12 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 32800 |
| 12 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 49699 |
| 12 | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 504 |
| 12 | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 580 |
| 12 | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 140 |
| 13 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 70220 |
| 13 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 38306 |
| 13 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 58593 |
| 13 | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 472 |
| 13 | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 548 |
| 13 | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 156 |
| 14 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 81049 |
| 14 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 43801 |
| 14 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 67470 |
| 14 | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 440 |
| 14 | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 580 |
| 14 | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 164 |
| 15 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 91873 |
| 15 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 49312 |
| 15 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 76357 |
| 15 | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 504 |
| 15 | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 644 |
| 15 | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 164 |
| 16 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 102696 |
| 16 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 54827 |
| 16 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 85247 |
| 16 | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 632 |
| 16 | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 676 |
| 16 | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 164 |
| 17 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 113520 |
| 17 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 60329 |
| 17 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 94121 |
| 17 | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 696 |
| 17 | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 644 |
| 17 | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 148 |
| 18 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 124339 |
| 18 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 65828 |
| 18 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 102997 |
| 18 | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 728 |
| 18 | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 772 |
| 18 | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 172 |
| 19 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 135161 |
| 19 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 71328 |
| 19 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 111876 |
| 19 | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 792 |
| 19 | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 772 |
| 19 | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 204 |
| 20 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 77734 |
| 20 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 116787 |
| 20 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 63895 |
| 20 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 107011 |
| 20 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 80174 |
