Benchmark                 RetTimeMemOff    RetTimeMemOn    RetTimeRegOff    RetTimeRegOn      RetSize  AreaTimeMemOff    AreaTimeMemOn    AreaTimeRegOff    AreaTimeRegOn      AreaSize  CompressTimeMemOff    CompressTimeMemOn    CompressTimeRegOff    CompressTimeRegOn      CompressSize
stringsearch1             +0.005%          +0.011%         +0.002%          +0.009%              2316  +0.005%           +0.012%          +0.002%           +0.009%                2328  +0.009%               +0.015%              +0.004%               +0.011%                         588
SHA-512                   +0.379%          +0.898%         +0.199%          +0.760%              4052  +0.423%           +0.968%          +0.262%           +0.806%                4072  +0.749%               +1.274%              +0.368%               +0.950%                        1144
qsort                     +0.005%          +0.014%         +0.005%          +0.012%               260  +0.008%           +0.016%          +0.003%           +0.013%                 272  +0.014%               +0.019%              +0.007%               +0.015%                          68
dtoa                      +0.008%          +0.015%         +0.003%          +0.015%               500  +0.009%           +0.016%          +0.004%           +0.015%                 512  +0.015%               +0.018%              +0.007%               +0.016%                         128
fdct                      +0.003%          +0.009%         +0.002%          +0.007%               292  +0.004%           +0.011%          +0.002%           +0.007%                 304  +0.008%               +0.014%              +0.003%               +0.010%                          76
AES-CMAC-PRF-128          +2.052%          +4.774%         +1.043%          +4.093%              4052  +2.267%           +5.217%          +1.372%           +4.323%                4072  +3.983%               +6.823%              +1.950%               +5.109%                        1144
CTR_DRBG_(PR)             +0.093%          +0.212%         +0.048%          +0.182%              4052  +0.103%           +0.233%          +0.064%           +0.191%                4072  +0.177%               +0.302%              +0.088%               +0.223%                        1144
fac                       +22.777%         +52.303%        +12.298%         +44.925%              564  +24.615%          +56.627%         +15.370%          +47.392%                544  +43.697%              +74.472%             +22.153%              +55.391%                         96
HMAC_DRBG_SHA-256_(PR)    +2.335%          +5.387%         +1.254%          +4.622%              4068  +2.541%           +5.847%          +1.574%           +4.875%                4072  +4.497%               +7.673%              +2.270%               +5.722%                        1144
cnt                       +0.006%          +0.014%         +0.003%          +0.011%               292  +0.005%           +0.014%          +0.003%           +0.011%                 304  +0.012%               +0.019%              +0.006%               +0.014%                          76
SHA-256                   +0.319%          +0.737%         +0.171%          +0.630%              4052  +0.341%           +0.792%          +0.214%           +0.665%                4072  +0.617%               +1.042%              +0.311%               +0.777%                        1144
3                         +0.000%          +0.000%         +0.000%          +0.000%               168  +0.000%           +0.000%          -0.033%           +0.000%                 180  +0.000%               +0.000%              +0.000%               +0.000%                          48
levenshtein               +0.005%          +0.011%         +0.002%          +0.008%               804  +0.005%           +0.012%          +0.002%           +0.009%                 816  +0.009%               +0.016%              +0.004%               +0.011%                         212
20                        +63.173%         +145.150%       +34.123%         +124.629%             696  +68.295%          +157.098%        +42.667%          +131.491%               836  +121.260%             +206.637%            +61.445%              +153.675%                       212
sglib-listsort            +0.002%          +0.005%         +0.000%          +0.004%               284  +0.002%           +0.006%          +0.001%           +0.004%                 296  +0.005%               +0.008%              +0.001%               +0.005%                          80
16                        +60.337%         +138.554%       +32.598%         +118.993%             632  +65.214%          +150.009%        +40.739%          +125.517%               676  +115.723%             +197.204%            +58.670%              +146.707%                       164
AES-CBC-128               +0.011%          +0.024%         +0.005%          +0.020%              4052  +0.012%           +0.027%          +0.005%           +0.021%                4072  +0.020%               +0.035%              +0.010%               +0.025%                        1144
AES-GCM-128               +0.983%          +2.258%         +0.534%          +1.940%              4052  +1.057%           +2.437%          +0.658%           +2.041%                4072  +1.889%               +3.236%              +0.959%               +2.399%                        1144
edn                       +0.005%          +0.010%         +0.001%          +0.008%              1148  +0.005%           +0.011%          +0.002%           +0.008%                1160  +0.009%               +0.015%              +0.003%               +0.010%                         296
ns                        +0.000%          +0.000%         +0.000%          +0.000%               164  +0.000%           +0.000%          +0.027%           +0.081%                 176  +0.000%               +0.000%              +0.000%               +0.000%                          44
select                    +0.003%          +0.011%         +0.003%          +0.011%               268  +0.003%           +0.011%          -0.002%           +0.004%                 280  +0.011%               +0.012%              -0.002%               +0.011%                          76
sglib-listinsertsort      +0.004%          +0.010%         +0.001%          +0.007%               300  +0.005%           +0.010%          +0.002%           +0.007%                 344  +0.008%               +0.014%              +0.003%               +0.009%                          84
13                        +56.063%         +128.780%       +30.281%         +110.598%             472  +60.590%          +139.370%        +37.841%          +116.617%               548  +107.552%             +183.282%            +54.534%              +136.376%                       156
ctl-stack                 +0.003%          +0.008%         +0.001%          +0.006%               340  +0.004%           +0.009%          +0.001%           +0.006%                 352  +0.007%               +0.012%              +0.002%               +0.008%                          88
17                        +61.237%         +140.709%       +33.084%         +120.822%             696  +66.202%          +152.300%        +41.352%          +127.487%               644  +117.491%             +200.262%            +59.571%              +148.951%                       148
AES-CFB128-128            +0.010%          +0.023%         +0.005%          +0.018%              4052  +0.010%           +0.025%          +0.006%           +0.020%                4072  +0.019%               +0.033%              +0.009%               +0.023%                        1144
AES-CMAC-256              +1.905%          +4.437%         +0.968%          +3.800%              4052  +2.106%           +4.844%          +1.273%           +4.011%                4072  +3.697%               +6.340%              +1.813%               +4.748%                        1144
lcdnum                    +0.004%          +0.003%         +0.005%          +0.011%               228  +0.005%           +0.005%          +0.005%           +0.008%                 272  +0.005%               +0.022%              +0.005%               +0.015%                          60
cover                     +0.005%          +0.011%         +0.002%          +0.009%               276  +0.005%           +0.012%          +0.002%           +0.009%                 288  +0.009%               +0.015%              +0.004%               +0.011%                          72
duff                      +0.005%          +0.006%         +0.000%          +0.002%               236  +0.005%           +0.007%          +0.002%           +0.004%                 280  +0.007%               +0.009%              +0.003%               +0.005%                          76
qrduino                   +0.007%          +0.017%         +0.003%          +0.014%               372  +0.008%           +0.019%          +0.004%           +0.014%                 384  +0.014%               +0.024%              +0.006%               +0.017%                          96
sglib-arrayheapsort       +0.002%          +0.005%         +0.000%          +0.004%               244  +0.003%           +0.006%          +0.001%           +0.004%                 256  +0.004%               +0.007%              +0.001%               +0.005%                          64
AES-XTS-256               +0.010%          +0.022%         -0.000%          +0.015%              4052  +0.010%           +0.023%          +0.004%           +0.016%                4072  +0.015%               +0.032%              +0.007%               +0.020%                        1144
aha-compress              +0.005%          +0.010%         +0.001%          +0.008%               292  +0.005%           +0.011%          +0.002%           +0.008%                 304  +0.009%               +0.015%              +0.003%               +0.011%                          76
nbody                     +0.006%          +0.015%         +0.003%          +0.012%               388  +0.007%           +0.016%          +0.004%           +0.013%                 400  +0.012%               +0.021%              +0.005%               +0.015%                         100
ludcmp                    +0.006%          +0.011%         +0.002%          +0.010%               340  +0.005%           +0.011%          +0.003%           +0.010%                 384  +0.009%               +0.015%              +0.004%               +0.011%                          88
sglib-rbtree              +4.077%          +9.373%         +2.203%          +8.046%              1212  +4.410%           +10.145%         +2.755%           +8.488%                1192  +7.827%               +13.341%             +3.969%               +9.924%                         320
